iter, time, cost, ls_iters, alpha, delta, q_norm, dq_norm, dqH_norm, trust_ratio, grad_norm, dL_dq, h_norm, merit
0, 0.050421986, 26662.810409468777, 0, nan, 0.1, 12.079046789171736, 0.0003267426539505533, 76721.51685400547, -200.08203806452462, 866694.5102140295, -1.322102341319175e-05, 23.07171267428646, 26662.810409468777
1, 0.043526442, 26662.810409468777, 0, nan, 0.025, 12.079046789171736, 8.1685663552439e-05, 76721.51685400547, -221.66073528227454, 866694.5102140295, -1.1924120012485804e-05, 23.07171267428646, 26662.810409468777
2, 0.034677464, 26662.810409468777, 0, nan, 0.00625, 12.079046789171736, 2.042141592994654e-05, 76721.51685400547, -486.63444452059696, 866694.5102140295, -1.1599894162225931e-05, 23.07171267428646, 26662.810409468777
3, 0.037070273, 26662.810409468777, 0, nan, 0.0015625, 12.079046789171736, 5.10535393246775e-06, 76721.51685400547, -328.87669356537884, 866694.5102140295, -1.1518837699171252e-05, 23.07171267428646, 26662.810409468777
4, 0.038112366, 26662.810409468777, 0, nan, 0.000390625, 12.079046789171736, 1.2763380656752397e-06, 76721.51685400547, -690.3434045852066, 866694.5102140295, -1.1498573581464194e-05, 23.07171267428646, 26662.810409468777
5, 0.042700983, 26662.810409468777, 0, nan, 9.765625e-05, 12.079046789171736, 3.1908262927957967e-07, 76721.51685400547, -1183.5893852488884, 866694.5102140295, -1.1493507544256994e-05, 23.07171267428646, 26662.810409468777
6, 0.041126189, 26662.810409468777, 0, nan, 2.44140625e-05, 12.079046789171736, 7.976289098771053e-08, 76721.51685400547, -2419.7044922267646, 866694.5102140295, -1.1492241003831185e-05, 23.07171267428646, 26662.810409468777
7, 0.041372284, 26662.810409468777, 0, nan, 6.103515625e-06, 12.079046789171736, 1.9909413818374043e-08, 76721.51685400547, -3159.6280561433673, 866694.5102140295, -1.1491924244091192e-05, 23.07171267428646, 26662.810409468777
8, 0.035075106, 26662.810409468777, 0, nan, 1.52587890625e-06, 12.079046789171736, 4.8501747856472524e-09, 76721.51685400547, -3242.5868286067025, 866694.5102140295, -1.1491844546622996e-05, 23.07171267428646, 26662.810409468777
9, 0.039448657, 26662.810409468777, 0, nan, 3.814697265625e-07, 12.079046789171736, 4.68770177641705e-10, 76721.51685400547, -3775.64118629684, 866694.5102140295, -1.1491821356935925e-05, 23.07171267428646, 26662.810409468777
